幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.35500,30.72500,30.70500,30.66600,30.60300,30.53300,30.46300,30.37000,30.29900,本行賣出,31.04500,30.82500,30.80900,30.77700,30.71400,30.64600,30.58700,30.50500,30.43700,
HKD,本行買入,3.75400,3.89000,3.88800,3.88500,3.88000,3.87400,3.86500,3.85600,3.84700,本行賣出,3.97000,3.95000,3.94900,3.94700,3.94200,3.93600,3.92900,3.92200,3.91400,
GBP,本行買入,38.29000,39.29000,39.28000,39.25900,39.23100,39.20000,39.14700,39.09300,39.04000,本行賣出,40.41000,39.71000,39.70900,39.70600,39.68400,39.65200,39.61500,39.57700,39.53900,
AUD,本行買入,22.01000,22.28000,22.26500,22.23500,22.19300,22.14900,22.09100,22.03200,21.97600,本行賣出,22.79000,22.51000,22.50000,22.47900,22.44000,22.39600,22.34600,22.29600,22.24900,
CAD,本行買入,23.03000,23.42000,23.40800,23.38500,23.35100,23.31500,23.26100,23.20700,23.15300,本行賣出,23.94000,23.64000,23.63300,23.61800,23.58700,23.55100,23.50600,23.46200,23.41700,
SGD,本行買入,21.86000,22.35000,22.33700,22.31100,22.28400,22.25400,22.20800,22.16100,22.11500,本行賣出,22.77000,22.53000,22.52400,22.51300,22.48800,22.45500,22.42200,22.39000,22.35700,
CHF,本行買入,30.42000,31.08000,31.08400,31.09200,31.11100,31.13400,31.13600,31.13800,31.13900,本行賣出,31.62000,31.37000,31.38400,31.41200,31.43700,31.46000,31.47500,31.48900,31.50400,
JPY,本行買入,0.26700,0.27430,0.27430,0.27430,0.27440,0.27430,0.27430,0.27430,0.27430,本行賣出,0.27980,0.27830,0.27840,0.27850,0.27860,0.27850,0.27860,0.27870,0.27880,
ZAR,本行買入,0.00000,2.10000,2.09500,2.08400,2.07200,2.05700,2.04200,2.02700,2.01100,本行賣出,0.00000,2.18000,2.17600,2.16800,2.15500,2.14100,2.12700,2.11200,2.09800,
SEK,本行買入,2.99000,3.33000,3.33000,3.33100,3.33200,3.33300,3.33200,3.33100,3.33000,本行賣出,3.51000,3.43000,3.43100,3.43400,3.43500,3.43600,3.43700,3.43800,3.43900,
NZD,本行買入,19.97000,20.35000,20.33400,20.30100,20.26100,20.22000,20.16500,20.11100,20.05600,本行賣出,20.82000,20.55000,20.54100,20.52300,20.48600,20.44400,20.39800,20.35300,20.30800,
THB,本行買入,0.81560,0.92420,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.00360,0.96420,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.50220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.63520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00178,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00248,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.76000,35.38000,35.38100,35.38200,35.39300,35.39400,35.39800,35.40000,35.40300,本行賣出,36.10000,35.78000,35.79200,35.81500,35.82900,35.83400,35.84900,35.86300,35.87700,
KRW,本行買入,0.02576,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02966,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00095,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00145,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.39400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.02400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.37800,4.45000,4.44620,4.43850,4.42800,4.41290,4.39960,4.38620,4.37280,本行賣出,4.54000,4.50000,4.49680,4.49040,4.47920,4.47280,4.46310,4.45330,4.44360,
